current name,aka,first registered,deregistered
nix,"nichdel, nich","August 14th, 2013",
G.,,"February 4th, 2001",
omd,,"May 1st, 2007",
Aspen,,"September 13th, 2016",
Gaelan,,"May 27th, 2015",
Cuddlebeam,,May 20th 2017,
Trigon,,"September 13th, 2016",
Murphy,,Before January 1996,
ATMunn,,"September 21st, 2017",
Falsifian,,"February 13th, 2019",
Jason,,"June 2nd, 2019",
R. Lee,,"June 7th, 2017",
cuddlybanana,,"March 16th, 2021",
Jumble,,"March 21st, 2021",
ais523,,"April 28th, 2008",
Telna,,"October 18th, 2013",
Pat,,"July 23rd, 2021",
D. Wet,,"July 26th, 2021",
seventeenMachine,,"April 17th, 2021",
Nathan,,"August 19th, 2020",
surprise,,"June 20th, 2021",
